"ÖGK-LS","Monat.Jahr","Postal","OnlineMeine","OnlineWAH"
"ÖGK-B","Jän.23","29","39",""
"ÖGK-B","Feb.23","48","56",""
"ÖGK-B","Mär.23","45","41",""
"ÖGK-B","Apr.23","78","70",""
"ÖGK-B","Mai.23","95","95","48.0"
"ÖGK-B","Jun.23","105","98","27.0"
"ÖGK-B","Jul.23","102","97","15.0"
"ÖGK-B","Aug.23","108","123","17.0"
"ÖGK-B","Sep.23","112","105","24.0"
"ÖGK-B","Okt.23","64","64","20.0"
"ÖGK-B","Nov.23","48","48","34.0"
"ÖGK-B","Dez.23","39","39","50.0"
"ÖGK-B","Durchschnitt","73","73","29.0"
"ÖGK-K","Jän.23","72","45",""
"ÖGK-K","Feb.23","85","53",""
"ÖGK-K","Mär.23","84","69",""
"ÖGK-K","Apr.23","87","80",""
"ÖGK-K","Mai.23","92","97","42.0"
"ÖGK-K","Jun.23","84","83","27.0"
"ÖGK-K","Jul.23","63","78","35.0"
"ÖGK-K","Aug.23","58","68","34.0"
"ÖGK-K","Sep.23","60","63","18.0"
"ÖGK-K","Okt.23","47","46","13.0"
"ÖGK-K","Nov.23","25","25","13.0"
"ÖGK-K","Dez.23","20","20","13.0"
"ÖGK-K","Durchschnitt","65","61","24.0"
"ÖGK-N","Jän.23","42","17",""
"ÖGK-N","Feb.23","41","17",""
"ÖGK-N","Mär.23","49","17",""
"ÖGK-N","Apr.23","50","28",""
"ÖGK-N","Mai.23","61","28","14.0"
"ÖGK-N","Jun.23","60","35","14.0"
"ÖGK-N","Jul.23","55","35","14.0"
"ÖGK-N","Aug.23","76","42","14.0"
"ÖGK-N","Sep.23","81","42","14.0"
"ÖGK-N","Okt.23","103","72","14.0"
"ÖGK-N","Nov.23","78","78","14.0"
"ÖGK-N","Dez.23","89","89","14.0"
"ÖGK-N","Durchschnitt","65","42","14.0"
"ÖGK-O","Jän.23","25","21",""
"ÖGK-O","Feb.23","25","29",""
"ÖGK-O","Mär.23","26","20",""
"ÖGK-O","Apr.23","28","15",""
"ÖGK-O","Mai.23","32","23","0.0"
"ÖGK-O","Jun.23","27","28","4.0"
"ÖGK-O","Jul.23","24","29","11.0"
"ÖGK-O","Aug.23","28","30","17.0"
"ÖGK-O","Sep.23","35","18","18.0"
"ÖGK-O","Okt.23","32","32","28.0"
"ÖGK-O","Nov.23","38","38","14.0"
"ÖGK-O","Dez.23","43","43","19.0"
"ÖGK-O","Durchschnitt","30","27","14.0"
"ÖGK-S","Jän.23","27","26",""
"ÖGK-S","Feb.23","25","25",""
"ÖGK-S","Mär.23","23","21",""
"ÖGK-S","Apr.23","21","24",""
"ÖGK-S","Mai.23","27","34","14.0"
"ÖGK-S","Jun.23","35","26","10.0"
"ÖGK-S","Jul.23","25","26","13.0"
"ÖGK-S","Aug.23","21","21","10.0"
"ÖGK-S","Sep.23","14","14","10.0"
"ÖGK-S","Okt.23","15","15","17.0"
"ÖGK-S","Nov.23","15","15","13.0"
"ÖGK-S","Dez.23","18","18","19.0"
"ÖGK-S","Durchschnitt","22","22","13.0"
"ÖGK-ST","Jän.23","71","71",""
"ÖGK-ST","Feb.23","80","80",""
"ÖGK-ST","Mär.23","86","85",""
"ÖGK-ST","Apr.23","87","87",""
"ÖGK-ST","Mai.23","95","95","14.0"
"ÖGK-ST","Jun.23","105","105","14.0"
"ÖGK-ST","Jul.23","102","102","14.0"
"ÖGK-ST","Aug.23","112","112","14.0"
"ÖGK-ST","Sep.23","106","106","14.0"
"ÖGK-ST","Okt.23","100","100","14.0"
"ÖGK-ST","Nov.23","73","73","14.0"
"ÖGK-ST","Dez.23","81","81","14.0"
"ÖGK-ST","Durchschnitt","92","91","14.0"
"ÖGK-T","Jän.23","61","8",""
"ÖGK-T","Feb.23","60","21",""
"ÖGK-T","Mär.23","58","21",""
"ÖGK-T","Apr.23","61","21",""
"ÖGK-T","Mai.23","63","28","2.0"
"ÖGK-T","Jun.23","65","28","2.0"
"ÖGK-T","Jul.23","67","28","2.0"
"ÖGK-T","Aug.23","69","28","2.0"
"ÖGK-T","Sep.23","67","28","2.0"
"ÖGK-T","Okt.23","56","56","2.0"
"ÖGK-T","Nov.23","44","44","2.0"
"ÖGK-T","Dez.23","30","30","2.0"
"ÖGK-T","Durchschnitt","58","28","2.0"
"ÖGK-V","Jän.23","42","42",""
"ÖGK-V","Feb.23","56","56",""
"ÖGK-V","Mär.23","70","70",""
"ÖGK-V","Apr.23","77","77",""
"ÖGK-V","Mai.23","77","77",""
"ÖGK-V","Jun.23","84","84",""
"ÖGK-V","Jul.23","84","84",""
"ÖGK-V","Aug.23","77","77",""
"ÖGK-V","Sep.23","77","77",""
"ÖGK-V","Okt.23","63","63",""
"ÖGK-V","Nov.23","63","63",""
"ÖGK-V","Dez.23","77","77",""
"ÖGK-V","Durchschnitt","71","71",""
"ÖGK-W","Jän.23","50","48",""
"ÖGK-W","Feb.23","48","48",""
"ÖGK-W","Mär.23","48","42",""
"ÖGK-W","Apr.23","54","46",""
"ÖGK-W","Mai.23","52","55",""
"ÖGK-W","Jun.23","62","62",""
"ÖGK-W","Jul.23","61","62","17.0"
"ÖGK-W","Aug.23","63","57","49.0"
"ÖGK-W","Sep.23","63","59","69.0"
"ÖGK-W","Okt.23","47","49","42.0"
"ÖGK-W","Nov.23","47","47","38.0"
"ÖGK-W","Dez.23","48","48","46.0"
"ÖGK-W","Durchschnitt","54","52","44.0"
